"","user_group","date","instance_average","user_average","post_average","instance_diff","user_diff","post_diff"
"1","0-1","2022-11",2378.8,2356,2588534.75,0,0,0
"2","1-10","2022-11",4114.5,15772.2,7540533.05,0,0,0
"3","10-100","2022-11",1396.35,44784.05,26813728.4,0,0,0
"4","100-1000","2022-11",517.2,171882.2,67262325.2,0,0,0
"5","1000-10000","2022-11",238.4,770488,171277733.75,0,0,0
"6","10000+","2022-11",77.75,4611099.15,260302075.3,0,0,0
"7","0-1","2022-12",3039.12903225806,3007.41935483871,2464473.19354839,660.329032258064,651.41935483871,-124061.556451613
"8","1-10","2022-12",5491.29032258064,21161.064516129,7981137.22580645,1376.79032258064,5388.86451612903,440604.175806452
"9","10-100","2022-12",1772.25806451613,57091.064516129,27659065.9354839,375.908064516129,12307.014516129,845337.535483871
"10","100-1000","2022-12",606.290322580645,199960.225806452,69139876.7419355,89.0903225806451,28078.0258064516,1877551.54193547
"11","1000-10000","2022-12",265.193548387097,855857.903225806,176351932.129032,26.7935483870968,85369.9032258064,5074198.37903225
"12","10000+","2022-12",88.258064516129,5223761.48387097,275968529.677419,10.508064516129,612662.333870967,15666454.3774194
"13","0-1","2023-1",3370.58064516129,3330.22580645161,2606131.51612903,331.451612903226,322.806451612903,141658.322580645
"14","1-10","2023-1",6036.32258064516,23351.2258064516,8533201.22580645,545.032258064516,2190.16129032258,552064.000000001
"15","10-100","2023-1",1894.61290322581,60795.5161290323,28081844.483871,122.354838709677,3704.45161290323,422778.548387099
"16","100-1000","2023-1",661.903225806452,217975.838709677,72115369.9354839,55.6129032258065,18015.6129032258,2975493.1935484
"17","1000-10000","2023-1",293.548387096774,926115.096774194,180233431.129032,28.3548387096774,70257.1935483871,3881499
"18","10000+","2023-1",92.8709677419355,5482944.09677419,294044468.516129,4.61290322580645,259182.612903226,18075938.8387097
"19","0-1","2023-2",3573.88461538462,3532.57692307692,2730639.30769231,203.303970223325,202.35111662531,124507.791563275
"20","1-10","2023-2",6165.96153846154,23974.9230769231,8979307.03846154,129.638957816377,623.697270471464,446105.812655086
"21","10-100","2023-2",1939.23076923077,62364.0769230769,29044607.9230769,44.6178660049629,1568.56079404466,962763.439205956
"22","100-1000","2023-2",665.961538461538,217161.038461538,73399175.5,4.05831265508687,-814.800248138956,1283805.56451613
"23","1000-10000","2023-2",315.961538461538,978649.692307692,184967604.461538,22.4131513647642,52534.5955334987,4734173.33250621
"24","10000+","2023-2",94.5769230769231,5617081.92307692,307930708.423077,1.70595533498759,134137.82630273,13886239.9069479
"25","0-1","2023-3",3554.96774193548,3516.48387096774,2794210.90322581,-18.9168734491313,-16.0930521091809,63571.595533499
"26","1-10","2023-3",6056.1935483871,23726.3870967742,9644129.5483871,-109.767990074442,-248.535980148885,664822.509925559
"27","10-100","2023-3",1961.96774193548,63451.8709677419,29067740.483871,22.7369727047146,1087.79404466501,23132.5607940443
"28","100-1000","2023-3",682.161290322581,224713.451612903,74725065.9677419,16.1997518610422,7552.41315136474,1325890.46774194
"29","1000-10000","2023-3",317.451612903226,990706.870967742,190046527,1.49007444168734,12057.1786600497,5078922.53846154
"30","10000+","2023-3",94.4516129032258,5754768.90322581,319172154.967742,-0.125310173697272,137686.980148884,11241446.544665
"31","0-1","2023-4",3422.33333333333,3390.86666666667,2868557.06666667,-132.63440860215,-125.617204301075,74346.1634408603
"32","1-10","2023-4",5978.1,23558.5333333333,10389681.0333333,-78.0935483870962,-167.85376344086,745551.484946236
"33","10-100","2023-4",1975.83333333333,64309.4333333333,29648214.7333333,13.8655913978494,857.562365591402,580474.249462366
"34","100-1000","2023-4",680.866666666667,223624.966666667,75878856.9666667,-1.29462365591394,-1088.48494623654,1153790.99892473
"35","1000-10000","2023-4",324.266666666667,1001272.4,194076533.266667,6.81505376344086,10565.5290322581,4030006.26666668
"36","10000+","2023-4",95.5,5857413.1,329190420.733333,1.04838709677419,102644.196774193,10018265.7655914
"37","0-1","2023-5",3355.27272727273,3327,2936706.36363636,-67.060606060606,-63.8666666666668,68149.2969696969
"38","1-10","2023-5",5959.72727272727,23521.4545454545,10853259.0909091,-18.3727272727274,-37.0787878787887,463578.057575759
"39","10-100","2023-5",2002,65190.3636363636,30190403.0909091,26.1666666666667,880.930303030305,542188.357575756
"40","100-1000","2023-5",682.272727272727,222771.818181818,77392742.8181818,1.40606060606058,-853.148484848498,1513885.85151514
"41","1000-10000","2023-5",328.636363636364,1015696.45454545,197943647.090909,4.36969696969697,14424.0545454546,3867113.82424241
"42","10000+","2023-5",97,5962066.54545455,335760064.363636,1.5,104653.445454546,6569643.63030303
